speaker,pos,neg,neu,compound
AjitNarayanan,0.0881111111111111,0.0107111111111111,0.9011703703703708,0.1782962962962962
AlGore,0.08477731517360809,0.03617520642574887,0.8790364266100251,0.11231402283838993
AlSeckel,0.1035111111111111,0.0354888888888888,0.8609888888888892,0.1523888888888888
AlVernacchio,0.1132266666666666,0.0215999999999999,0.8651733333333336,0.2027226666666666
AlaaMurabit,0.0915462962962963,0.0515648148148148,0.8568796296296297,0.1087962962962962
AlaindeBotton,0.1097626708181975,0.0726805915931499,0.8175551807645736,0.11853883411174529
AlanEustace,0.0874137931034482,0.0279224137931034,0.8846551724137931,0.1536698275862068
AlanKay,0.0563770491803278,0.026087431693989,0.9175355191256832,0.0658928961748633
AlanRussell,0.0774965986394557,0.0325374149659864,0.8899727891156463,0.1250251700680272
AlanSiegel,0.0897419354838709,0.0150645161290322,0.8951612903225804,0.1715354838709678
AlanSmith,0.0796209677419354,0.0257016129032258,0.8946532258064516,0.1477475806451612
AlannaShaikh,0.1138225806451612,0.043,0.8431774193548385,0.2036806451612902
AlastairParvin,0.0679115044247787,0.0258761061946902,0.906212389380531,0.1166964601769911
AlbertoCairo,0.077680981595092,0.0441288343558282,0.8781963190184048,0.0432337423312883
AlecSoth,0.0809772727272727,0.0316363636363636,0.887409090909091,0.1392045454545455
AlejandroAlvarado,0.0835714285714285,0.0389495798319327,0.8774537815126049,0.1051302521008403
AlejandroAravena,0.0621705426356589,0.0377054263565891,0.9001317829457365,0.0436217054263566
AlessandraOrofino,0.1282992125984251,0.0569448818897637,0.8147401574803147,0.154259842519685
AlessandroAcquisti,0.0799166666666666,0.0436499999999999,0.876466666666667,0.102905
AlexKipman,0.0747222222222222,0.0117166666666666,0.9135555555555556,0.1283694444444444
AlexLaskey,0.1136388888888889,0.0335972222222222,0.8527361111111111,0.2093416666666666
AlexSteffen,0.1026351313054978,0.028188739845078352,0.869176128849424,0.20936628566030596
AlexTabarrok,0.128495867768595,0.0366115702479338,0.8349090909090909,0.209700826446281
AlexWissnerGross,0.1245360824742268,0.0180515463917525,0.8574226804123709,0.261540206185567
AlexaMeade,0.06309375,0.019609375,0.9172500000000002,0.11629375
AlexanderBetts,0.08616974071103975,0.05519881047848165,0.8586496925955623,0.0844846097300187
AlexanderTsiaras,0.0679148936170212,0.0067021276595744,0.9253829787234044,0.2073872340425532
AlexisOhanian,0.1520344827586207,0.0287931034482758,0.8191724137931033,0.458255172413793
AliCarrChellman,0.0720434782608695,0.0473565217391304,0.8806260869565218,0.0338104347826086
AliceBowsLarkin,0.0796935483870967,0.0464596774193548,0.8738467741935483,0.0436572580645161
AliceDreger,0.0643831168831168,0.0346558441558441,0.9009610389610392,0.0808999999999999
AliceGoffman,0.0603134328358208,0.0937388059701492,0.8459701492537309,-0.0962380597014925
AliceRawsthorn,0.1199620253164557,0.0492784810126582,0.8307848101265823,0.1740468354430379
AliciaGarzaandPatrisseCullorsandOpalTometi,0.1033857142857142,0.0494071428571428,0.8472071428571428,0.1310228571428571
AlisaMiller,0.0509705882352941,0.0340588235294117,0.9149705882352942,0.0079176470588235
AlisonGopnik,0.0901338582677164,0.0223700787401574,0.88748031496063,0.2111015748031496
AlisonJackson,0.058235294117647,0.0497516339869281,0.8920196078431374,0.0355607843137254
AlisonKilling,0.09962342192691029,0.08276129568106305,0.817593853820598,0.031011096345514945
AlixGenerous,0.1224216867469879,0.0559879518072289,0.8215903614457829,0.1173204819277108
AllanAdams,0.05123020050125305,0.01591152882205505,0.9328403508771929,0.08764254385964909
AllanJones,0.0542268041237113,0.0150927835051546,0.9306804123711347,0.1170278350515463
AllanSavory,0.0691683673469387,0.0592602040816326,0.8715765306122448,0.018254081632653
AllisonHunt,0.0781111111111111,0.0537777777777777,0.8681666666666666,0.1052194444444444
AlwarBalasubramaniam,0.0607272727272727,0.0180787878787878,0.9211757575757574,0.1183236363636363
AlysonMcGregor,0.0706643835616438,0.0508767123287671,0.8784794520547944,0.0561691780821917
AlyssaMonks,0.1113253968253968,0.0350238095238095,0.8536666666666667,0.1305507936507936
AmandaBennett,0.1098108108108107,0.072304054054054,0.817898648648649,0.0774141891891891
AmandaBurden,0.1026294117647058,0.0331764705882352,0.8641941176470586,0.1499994117647058
AmandaPalmer,0.0856079999999999,0.061032,0.8533600000000003,0.075048
AmberCase,0.0801509433962264,0.031,0.8888490566037734,0.1825245283018867
AmeenahGuribFakim,0.0685919999999999,0.029456,0.9019439999999996,0.06896
AmeeraHarouda,0.1130985915492957,0.0729436619718309,0.8139577464788731,0.0977957746478873
AmiKlin,0.0680753768844221,0.0320753768844221,0.899849246231156,0.0760130653266331
AmitSood,0.10764613368283091,0.01051039131248825,0.8818434750046809,0.2822872776633589
AmoryLovins,0.09525086963396309,0.0402409281366115,0.8644973120404776,0.14106766345165625
AmosWinter,0.0795945945945946,0.0197432432432432,0.9006621621621622,0.2133756756756757
AmyAdeleHasinoff,0.0939152542372881,0.1039067796610169,0.802177966101695,-0.0449313559322033
AmyCuddy,0.0826321839080459,0.0413563218390804,0.8760114942528732,0.1018683908045976
AmyGreen,0.1353043478260869,0.0927826086956521,0.7718804347826089,0.1247271739130435
AmyLockwood,0.0780487804878048,0.0504390243902439,0.8715365853658539,-0.005080487804878
AmyPurdy,0.0580208333333333,0.04259375,0.8993958333333335,0.0521833333333333
AmySmith,0.0782372881355932,0.0364237288135593,0.8853728813559324,0.0923940677966101
AmyTan,0.065869822485207,0.039189349112426,0.8949230769230772,0.0366846153846153
AmyWebb,0.0969038461538461,0.0344871794871794,0.8686025641025645,0.159176923076923
AnandAgarawala,0.1087948717948718,0.026051282051282,0.8651538461538462,0.2181948717948718
AnandGiridharadas,0.09559148736338796,0.07219044569672124,0.8322101263661201,0.019354299009562852
AnandVarma,0.0551372549019607,0.057313725490196,0.8875294117647061,0.0117960784313725
AnandaShankar,0.0876746987951807,0.0914819277108433,0.8208313253012051,0.0035132530120482
AnantAgarwal,0.0614714285714285,0.0176857142857142,0.92085,0.1225892857142857
AnasAremeyawAnas,0.0713963963963963,0.0654234234234234,0.8631801801801798,0.006309009009009
AnastasiaTaylorLind,0.0376538461538461,0.1279615384615384,0.8344230769230769,-0.1239173076923076
AndersFjellberg,0.05668345323741,0.0629424460431654,0.8803741007194245,-0.0196525179856115
AndersYnnerman,0.0897073170731707,0.0190914634146341,0.8912012195121952,0.1761499999999999
